course_name,course_code,section,Fall-2024,registration_dates,level,credit,campus,schedule_type,instructional_method,type,time,days,location,date_range,lecture_type,instructors
Radiographic Procedures I and Lab,82440,BIOL 31800,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Other Off Campus Location Campus,Lab Schedule Type,Traditional Instructional Method,Arranged,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lab,TBA
Biostatistics,81193,BIOL 32000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Seminar Schedule Type,Traditional Instructional Method,Class/Lecture,8:00 am - 8:50 am,MWF,Academic Science Center AS 024S,"Aug 26, 2024 - Dec 14, 2024",Seminar,Erin   Zimmer (P)
Fluoroscopic Procedures 1,82441,BIOL 32800,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Technical Radiation Oncology 1,81196,BIOL 32900,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,2,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Management and Methods of Patient Care for Sonography,82439,BIOL 33000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Introduction to Sonography and Patient Care,82400,BIOL 33001,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,2,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Principles and Practice of Radiation Therapy 1,81198,BIOL 33100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Sonography Principles and Instrumentation 1,82401,BIOL 33201,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,2,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Pathology/Sectional Anatomy,81201,BIOL 33300,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,2,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Radiation Therapy Physics 1,81202,BIOL 33400,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,2,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Clinical Practicum 1,81203,BIOL 33700,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Other Off Campus Location Campus,Experiential Schedule Type,Traditional Instructional Method,Class/Lecture,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Experiential,TBA
Medical Imaging/Processing,81204,BIOL 33900,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,2,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Management and Methods of Patient Care 1,81205,BIOL 34000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Radiation Safety and Protection,81438,BIOL 34200,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,2,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Radiation Physics/ Instrumentation,81881,BIOL 34400,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Arranged by Instructor/Dept,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Abdomen Sonography 1,82406,BIOL 34501,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,2,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Abdomen Sonography 1 Lab,82407,BIOL 34502,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Diagnostic Nuclear Imaging Clinical Practicum 1,81880,BIOL 34600,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Other Off Campus Location Campus,Experiential Schedule Type,Traditional Instructional Method,Arranged,TBA,,Arranged by Instructor/Dept,"Aug 26, 2024 - Dec 14, 2024",Experiential,TBA
Clinical Nuclear Medicine Procedures I,81879,BIOL 34800,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Arranged by Instructor/Dept,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Clinical Education 1,81441,BIOL 34900,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Other Off Campus Location Campus,Experiential Schedule Type,Traditional Instructional Method,Class/Lecture,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Experiential,TBA
Radiography Clinical 1,82442,BIOL 35000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,2,Other Off Campus Location Campus,Experiential Schedule Type,Traditional Instructional Method,Arranged,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Experiential,TBA
Molecular Biochemistry with Clinical Correlates,81443,BIOL 35500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,12:00 pm - 1:15 pm,MF,Academic Science Center AS 110S,"Aug 26, 2024 - Dec 14, 2024",Lecture,Jennifer   Roberts (P)
Molecular Biochemistry Lab,81444,BIOL 35600,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,Lab,9:00 am - 10:50 am,R,Academic Science Center AS 218L,"Aug 26, 2024 - Dec 14, 2024",Lab,Jeannette M  Pifer (P)
Issues in Environmental Science,82214,BIOL 37500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,5:30 pm - 7:00 pm,T,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Jerry H  Kavouras (P)
Biology Journal Club,81448,BIOL 38500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Romeoville Campus,Capstone Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 11:50 am,T,Academic Science Center AS 204L,"Aug 26, 2024 - Dec 14, 2024",Capstone,Jennifer   Roberts (P)
Biology Journal Club,81453,BIOL 38500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Romeoville Campus,Capstone Schedule Type,Traditional Instructional Method,Class/Lecture,10:00 am - 10:50 am,R,Academic Science Center AS 120S,"Aug 26, 2024 - Dec 14, 2024",Capstone,James V  Rago (P)
Professional Clinical Practicum,82361,BIOL 39000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Other Off Campus Location Campus,Experiential Schedule Type,Traditional Instructional Method,Arranged,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Experiential,Elizabeth   Kozak (P)
Green Building and LEED Rating Systems,82267,BIOL 39300,Fall-2024,"Apr 08, 2024 to Oct 21, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Oct 21, 2024 - Dec 14, 2024",Lecture,Joy   O'Neil (P)
Major Field Test,81454,BIOL 39400,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,0,Romeoville Campus,Capstone Schedule Type,Traditional Instructional Method,Arranged,TBA,,Arranged by Instructor/Dept,"Aug 26, 2024 - Dec 14, 2024",Capstone,Erin   Zimmer (P)
ACCA: Woody Plants of the Western Great Lakes Region,81455,BIOL 39706,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
ACCA: Freshwater Ecology,81937,BIOL 39707,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Arranged by Instructor/Dept,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Human Anatomy,81481,BIOL 42200,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 11:50 am,MWF,Academic Science Center AS 130S,"Aug 26, 2024 - Dec 14, 2024",Lecture,Jeannette M  Pifer (P)
Functional Human Anatomy Lab,81503,BIOL 42300,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,Class/Lecture,1:00 pm - 1:50 pm,T,Academic Science Center AS 134S,"Aug 26, 2024 - Dec 14, 2024",Lab,Jennifer   Roberts (P)
Functional Human Anatomy Lab,81505,BIOL 42300,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,Lab,2:00 pm - 2:50 pm,T,Academic Science Center AS 134S,"Aug 26, 2024 - Dec 14, 2024",Lab,Jennifer   Roberts (P)
Medical Microbiology,81509,BIOL 42500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:00 am - 9:50 am,MWF,Academic Science Center AS 155A,"Aug 26, 2024 - Dec 14, 2024",Lecture,James V  Rago (P)
Diagnostic Medical Sonography Seminar,82412,BIOL 43801,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,2,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Obstetrics and Gynecology Sonography 1,82408,BIOL 43901,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,2,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Obstetrics and Gynecology Sonography I Lab,82409,BIOL 43902,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Vascular Sonography 1,82410,BIOL 44101,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,2,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Vascular Sonography 1 Lab,82411,BIOL 44102,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Vascular Sonography 2,82414,BIOL 44103,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,2,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Vascular Sonography 2 Lab,82415,BIOL 44104,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,2,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Clinical Education 3,81537,BIOL 44400,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Other Off Campus Location Campus,Experiential Schedule Type,Traditional Instructional Method,Class/Lecture,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Experiential,TBA
Clinical Education 4,81540,BIOL 45300,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Other Off Campus Location Campus,Experiential Schedule Type,Traditional Instructional Method,Class/Lecture,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Experiential,TBA
Professional Research,82413,BIOL 45501,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,2,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Clinical Correlations/Pathology,81878,BIOL 45600,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,2,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Arranged,TBA,,Arranged by Instructor/Dept,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Undergraduate Research,81556,BIOL 49000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Romeoville Campus,Directed Study Schedule Type,Traditional Instructional Method,Arranged,TBA,,Arranged by Instructor/Dept,"Aug 26, 2024 - Dec 14, 2024",Directed Study,Jerry H  Kavouras (P)
Undergraduate Research,81557,BIOL 49000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Romeoville Campus,Directed Study Schedule Type,Traditional Instructional Method,Arranged,TBA,,Arranged by Instructor/Dept,"Aug 26, 2024 - Dec 14, 2024",Directed Study,Sarah E  Powers (P)
Undergraduate Research,81558,BIOL 49000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Romeoville Campus,Directed Study Schedule Type,Traditional Instructional Method,Arranged,TBA,,Arranged by Instructor/Dept,"Aug 26, 2024 - Dec 14, 2024",Directed Study,Mallory A  Havens (P)
Undergraduate Research,81559,BIOL 49000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Romeoville Campus,Directed Study Schedule Type,Traditional Instructional Method,Arranged,TBA,,Arranged by Instructor/Dept,"Aug 26, 2024 - Dec 14, 2024",Directed Study,Jeannette M  Pifer (P)
Biology Senior Thesis,81581,BIOL 49600,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,2,Romeoville Campus,Capstone Schedule Type,Traditional Instructional Method,Arranged,TBA,,Arranged by Instructor/Dept,"Aug 26, 2024 - Dec 14, 2024",Capstone,"Erin   Zimmer (P), Marne J  Bailey, Jennifer   Roberts"
ST: Pathophysiology,82268,BIOL 49701,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,8:00 am - 8:50 am,MWF,Academic Science Center AS 204L,"Aug 26, 2024 - Dec 14, 2024",Lecture,Elizabeth   Kozak (P)
Introduction to Computational Biology,81682,BIOL 50900,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Graduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Oct 19, 2024",Lecture,Dawn M.  Graunke (P)
Data Systems in the Life Sciences,81683,BIOL 51000,Fall-2024,"Apr 08, 2024 to Oct 21, 2024",Graduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Oct 21, 2024 - Dec 14, 2024",Lecture,Dawn M.  Graunke (P)
Business Professional Development,81933,BSAD 12000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,12:30 pm - 1:45 pm,TR,St Charles Borromeo SB 157,"Aug 26, 2024 - Dec 14, 2024",Lecture,Elizabeth   Belgio (P)
Business Professional Development,82297,BSAD 12000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,1:00 pm - 2:15 pm,MW,St Charles Borromeo SB 160,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Principles of Management,81665,BSAD 20000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,8:00 am - 9:15 am,MW,St Charles Borromeo SB 160,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Principles of Management,81462,BSAD 20000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 12:15 pm,TR,South Hall SH 191,"Aug 26, 2024 - Dec 14, 2024",Lecture,Kimberly   Tillotson (P)
Principles of Management,81463,BSAD 20000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:30 am - 10:45 am,MW,St Charles Borromeo SB,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Principles of Management,81464,BSAD 20000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:30 am - 10:45 am,TR,South Hall SH 191,"Aug 26, 2024 - Dec 14, 2024",Lecture,Kimberly   Tillotson (P)
Principles of Management,81588,BSAD 20000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Oct 19, 2024",Lecture,Jeremy   Hayes (P)
Introduction to International Business,81461,BSAD 21000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Class/Lecture,9:30 am - 10:45 am,M,St Charles Borromeo SB 152,"Aug 26, 2024 - Dec 14, 2024",Lecture,Ian V  Gladding (P)
Introduction to International Business,81461,BSAD 21000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Online,9:30 am - 10:45 am,W,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Ian V  Gladding (P)
Introduction to International Business,82299,BSAD 21000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Class/Lecture,1:00 pm - 2:15 pm,M,St Charles Borromeo SB 152,"Aug 26, 2024 - Dec 14, 2024",Lecture,Ian V  Gladding (P)
Introduction to International Business,82299,BSAD 21000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Online,1:00 pm - 2:15 pm,W,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Ian V  Gladding (P)
Introduction to Entrepreneurship,81656,BSAD 21500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,8:00 am - 9:15 am,TR,St Charles Borromeo SB 156,"Aug 26, 2024 - Dec 14, 2024",Lecture,John   Wightkin (P)
International Management,81460,BSAD 24000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Online,9:30 am - 10:45 am,T,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Ian V  Gladding (P)
International Management,81460,BSAD 24000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Class/Lecture,9:30 am - 10:45 am,R,St Charles Borromeo SB 152,"Aug 26, 2024 - Dec 14, 2024",Lecture,Ian V  Gladding (P)
Business Law 1,81458,BSAD 25000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,12:30 pm - 1:45 pm,TR,St Charles Borromeo SB 156,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Business Law 1,81653,BSAD 25000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,1:00 pm - 2:15 pm,MW,St Charles Borromeo SB 171,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Business Law 1,81459,BSAD 25000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Business Communication in the Digital Age,81429,BSAD 30000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:30 am - 10:45 am,MW,St Charles Borromeo SB 144,"Aug 26, 2024 - Dec 14, 2024",Lecture,Michele L.  Ryan (P)
Business Communication in the Digital Age,81456,BSAD 30000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:30 am - 10:45 am,TR,St Charles Borromeo SB 142,"Aug 26, 2024 - Dec 14, 2024",Lecture,Michele L.  Ryan (P)
Business Communication in the Digital Age,81457,BSAD 30000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Robert   Bergman (P)
Business Communication in the Digital Age,81590,BSAD 30000,Fall-2024,"Apr 08, 2024 to Oct 21, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Oct 21, 2024 - Dec 14, 2024",Lecture,Maureen   Keane (P)
Introduction to Operations and Supply Chain Management,82420,BSAD 32000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,1:00 pm - 2:15 pm,MW,St Charles Borromeo SB 145,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Service Management,81428,BSAD 35500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Michele L.  Ryan (P)
Human Resource Management,81425,BSAD 36000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,12:30 pm - 1:45 pm,TR,St Charles Borromeo SB 171,"Aug 26, 2024 - Dec 14, 2024",Lecture,Lesley   Page (P)
Human Resource Management,81426,BSAD 36000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 12:15 pm,TR,St Charles Borromeo SB 160,"Aug 26, 2024 - Dec 14, 2024",Lecture,Elizabeth   Belgio (P)
Human Resource Management,82307,BSAD 36000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,2:30 pm - 3:45 pm,MW,St Charles Borromeo SB 160,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Human Resource Management,81591,BSAD 36000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Oct 19, 2024",Lecture,Robert O  Aspy (P)
Organizational Behavior,81423,BSAD 37500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Supervisory Management,81420,BSAD 38000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,8:00 am - 9:15 am,MW,St Charles Borromeo SB 152,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Supervisory Management,81421,BSAD 38000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 12:15 pm,TR,De La Salle DL 232,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Supervisory Management,81422,BSAD 38000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:30 am - 10:45 am,MW,St Charles Borromeo SB 160,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Supervisory Management,81592,BSAD 38000,Fall-2024,"Apr 08, 2024 to Oct 21, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Oct 21, 2024 - Dec 14, 2024",Lecture,Jeremy   Hayes (P)
Wksp: Introduction to Business Ethics,81419,BSAD 39100,Fall-2024,"Apr 08, 2024 to Oct 21, 2024",Undergraduate,1,Online Campus,Workshop Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Oct 21, 2024 - Nov 03, 2024",Workshop,Michael A  Progress (P)
International Business,81406,BSAD 42000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Online,11:00 am - 12:15 pm,T,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Ian V  Gladding (P)
International Business,81406,BSAD 42000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Class/Lecture,11:00 am - 12:15 pm,R,St Charles Borromeo SB 152,"Aug 26, 2024 - Dec 14, 2024",Lecture,Ian V  Gladding (P)
International Business,81593,BSAD 42000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Oct 19, 2024",Lecture,William   McKeown (P)
